help | Shows the main menu
fun [Page/All] | Fun commands
text [Page/All] | Text commands
info [Page/All] | Information commands
user [Page/All] | User and Selfbot commands
image [Page/All] | Image commands
tool [Page/All] | Tool commands
server [Page/All] | Server commands
administration | Administration commands
nsfw | NSFW image commands
abuse | Abusive commands
raid | Raid commands
usersettings | Discord User settings commands
botsettings | Selfbot settings commands
customization | Selfbot customization commands
searchcmd <Content> | Searches for a command
repeatcmd | Repeats last command
usage <Command> | Shows the usage of a command
description <Command> | Shows the description of a command
shelp | Shows all commands in the console
favoritecmds | Favorite commands
spam <Amount> <Timeout in Seconds> <Message> | Spams a specific message specific amount of times
spamtts <Amount> <Timeout in Seconds> <Message> | Spams a specific tts message specific amount of times
filespam | Spams the text from Spam.txt line by line
ascii <Text> | Shows text in ASCII format
poll <Message> | Starts a poll with a specific message
suggestion <Message> | Sends a suggestion with a specific message
reverse <Text> | Reverses Text
fliptext <Text> | Flips the text upside down
zalgo <Text> | Adds Zalgo characters to a Text
1337 <Text> | Turns Text to a 1337/leet message
uwu <Text> | UwUfies a message
mock <Text> | Spongemocks text
_base64 <Encode/Decode> <Text> | Encode/Decode text to/from Base64
notfunny | Tells someone how unfunny they are
noob | Tells someone what noob they are
beescript | Sends the whole Bee Movie Script line by line
hastebin <Text> | Uploads text to hastebin.com
loremipsum <Words> | Generates a Lorem Ipsum text with a specified amount of words
embed <Title> <Text> | Sends and Embed with a custom title and text
react <Text> [Message ID] [Channel] [Combine(true/false)] | Reacts with the Text translated in Emotes
uwumode | Toggles UwU Mode
mockmode | Toggles Mock Mode
empty | Sends an empty message
morse <Text> | Convert text to morse code
unmorse <Text> | Convert morse code to text
emojify <Text> | Converts text into emojis
tinyurl <URL> | Converts a URL to a TinyURL
clap <Sentence> | Puts a clap emoji between each word
cap <Sentence> | Puts a cap emoji between each word
semoji <Emoji> <Sentence> | Puts a custom emoji between each word
markdownblocks | Shows available Markdown code block commands
animate <Text> | Animates text
count <From> <To> | Counts from one number to another
strike <Text> | Puts a line through the text
spoil <Text> | Puts a spoiler on the text
lspoil <Text> | Puts a spoiler on each letter of the text
bold <Text> | Makes text bold
italic <Text> | Makes text italic
underline <Text> | Makes text underlined
blockquote <Text> | Makes text quoted
upper <Text> | Sends text uppercase
lower <Text> | Sends text lowercase
randomguildemoji | Sends a random emoji from the guild (only guilds)
countdown <From> <To> | Counts from one number to another (down)
texttobinary <Text> | Converts text to binary
binarytotext <Binary> | Converts binary to text
toenchantmenttable <Text> | Translates english to enchantment table language
cembed <Title> [Description] [Footer] [Image URL] | Custom embed
clear | Clear the chat without permissions
shrug | Sends a shrug text emoticon
tableflip | Sends a tableflip text emoticon
unflip | Sends a table unflip text emoticon
emoji <Emoji> | Send emoji in bigger format
vape <Text> | Vaporwave-style message
space <Text> | Spaced message
sleeklaunch <IP> <Port> <Duration> <Method> <PPS> | Starts a Sleek.to attack
sleekstop <Test ID> | Stops a Sleek.to attack
sleekstatus <Test ID> | Shows information about a Sleek.to attack
sleekmethods | Shows available Sleek.to attack methods
encryption | Shows encryption commands
invisibleping <User> <Message> | Sends a message with an invisible ping
hiddeninvite <URL> <Text> | Hide a discord invite behind your text
hiddenlink <URL> <Spoofed URL> | Spoof an URL
hiddeneveryone <Text> | Hide a @everyone ping behind your text
fakenitro <Link> | Generates fake Nitro URL
fakeskeet <Link> | Generates fake Skeet Invite URL
fakelink <Fake Link> <Original Link> | Sends a fake link
networking | Networking commands
dox <Token> | Shows information about someones Discord Account
tokenfucker <Token> | Changes all settings and let's the Account flicker black and white
nuketoken <Token> | Purges all guilds and blocks all friends of a Discord Account
bantoken <Token> | Bans someones Discord Account
blackscreenurl | Sends a URL which let's people who use Windows get a black screen
firstmessage | Jump to first message
dumpchat <Amount> | Saves the channel messages into a file and uploads it
gping <@User> | Ghostpings an user
timer <Seconds> <Name> | Set a timer
savebackup <Name> | Saves a full server backup
loadbackup <Name> | Loads a full server backup
deletebackup <Name> | Deletes a server backup
listbackup | Shows all server backups
impersonate <User> <Message> | Impersonates a user using a webhook
delwebhook <Webhook URL> | Deletes a Webhook
infograbber <Discord Webhook URL> | Creates a info grabber exe file which grabs Discord tokens and computer information
calculator | Opens calculator [Windows only]
winexplorer | Opens Windows Explorer [Windows only]
folder | Open React folder [Windows only]
webopen <URL> | Opens an URL in your web browser
leavegroups | Leaves all Groups
fakedata | Generates a fake identity
bottoken | Generates a random Discord bottoken
ebayviews <Amount> <Link> | Adds eBay views
tempmail | Creates a Temporary Mail
dm <User> <Text> | Sends a direct message to an user (Bypasses if you have blocked the user)
friendexport | Backups __some__ of your friends
purge <Amount> | Purges a specified amount of messages
spurge <Amount> | Purges a specified amount of your own messages
bulkreact <Amount> <Emoji> | Reacts to an amount of messages above
bulkpin <Amount> | Pins the amount of messages above
miraicrash <IP Address> <Port> | Crashes a Mirai Botnet
massghostping <User> | Ghostpings a person in every channel
globalmassghostping <User> | Ghostpings a person in every channel in every mutual server
